Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu
Mesut Vardar;58493021764;30.04.2026;16:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Diyaliz ünitesi su arıtma sistemi yıllık bakım sözleşmesi ön görüşmesi
Cansu Erten;Enfeksiyon Kontrol Hemşiresi;30.04.2026;10:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Cerrahi yoğun bakım dirençli bakteri izolasyon prosedürü güncellemesi
Hakan Şahin;19283746501;29.04.2026;14:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Hastane otopark otomasyonu yazılım güncellemesi saha değerlendirmesi
Gizem Aydın;Nöroloji Uzmanı;29.04.2026;09:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Yeni kurulan EEG odasının SKS standartlarına uygunluk kontrolü
Turgut Sönmez;74859610234;28.04.2026;15:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Arızalı EKG cihazlarının yedek parça temini ve garanti kapsamı onayı
Melis Yılmaz;Kalite Yönetim Direktörü;27.04.2026;11:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hastane içi öz değerlendirme raporlarının makama sunumu
Serdar Koç;38475619203;24.04.2026;13:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Laboratuvar sarf malzemeleri hakediş dosyası imza ve onayı
Büşra Tekin;Eczane Sorumlusu;24.04.2026;10:05;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Kırmızı reçeteli ilaçların stok takip ve güvenlik denetimi
Ozan Kılıç;İl Sağlık Müd. Denetmeni;22.04.2026;15:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Acil servis triyaj alanı hasta bekleme süreleri rutin denetimi
Fatma Uğur;92837465102;22.04.2026;09:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hasta hakları birimine intikal eden şikayet dosyasının incelenmesi
