Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu
Mesut Vardar;Kalite Birim Sorumlusu;30.04.2026;15:40;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;SKS öz değerlendirme puanlarının bakanlık sistemine girilmesi ve onayı
Aylin Tekin;74859102634;30.04.2026;10:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Temizlik personeli kat arabaları kimyasal seyreltme oranları rutin denetimi
Gökhan Karaca;Sivil Savunma Uzmanı;29.04.2026;14:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Hastane afet planı (HAP) acil durum tahliye güzergahları krokisi revizyonu
Selin Acar;Diyetisyen;28.04.2026;11:30;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Mutfak numune dolabı şahit numune sıcaklık takip çizelgelerinin kontrolü
Turgut Polat;Güvenlik Amiri;28.04.2026;09:45;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Güvenlik personeli acil kod (beyaz/mavi) reaksiyon süreleri tatbikat değerlendirmesi
Merve Şahin;38475619205;27.04.2026;16:10;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Hasta ve hasta yakını memnuniyet anketleri nisan ayı sonuç analizi
Orhan Gürbüz;19283746501;24.04.2026;13:50;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Çamaşırhane temiz/kirli alan ayrımı fiziksel şartlarının SKS standartlarına göre incelenmesi
Cengiz Dağlı;Tıbbi Atık Firma Yön.;24.04.2026;09:20;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Tıbbi atık deposu koku önleyici sistem ozon jeneratörü bakım faturası onayı
Uzm. Dr. Derya Can;İl Sağlık Müd. Kalite Den.;22.04.2026;10:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;İl Sağlık Müdürlüğü kalite denetçileri ön karşılama, toplantı ve saha brifingi
Yasin Yıldız;58493021764;21.04.2026;15:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Arşiv odası yangın söndürme tüpleri periyodik basınç ve hidrostatik testi kontrolü
Tuğba Çelik;Yemekhane Kontrol Teşkilatı;21.04.2026;11:40;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Yemekhane taşeron firma SKS hijyen standartları ve personel portör muayene denetimi
Kerem Aslan;48571920364;20.04.2026;09:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Engelli otopark alanlarının zemin boyama ve SKS uyumlu tabela yenileme çalışması
Esra Demir;92837465102;17.04.2026;14:50;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Asansör içi acil çağrı sistemlerinin (interkom) kalite standartlarına uyumu ve testi
Volkan Bulut;Elektrik Teknisyeni;16.04.2026;10:20;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Hastane genel aydınlatma lüks (lux) değerleri iş sağlığı ölçüm raporu teslimi
Ceren Yılmaz;Gebe Okulu Sorumlusu;15.04.2026;16:00;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Bebek dostu hastane unvanı yenileme dosyası ön hazırlığı ve doküman kontrolü
Hakan Şen;Çevre Mühendisi;15.04.2026;11:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Jeneratör egzoz emisyon ölçüm raporlarının çevre mevzuatı kapsamında onayı
Nihan Doğan;37485910265;14.04.2026;09:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Poliklinik bekleme alanları ergonomi, oturma düzeni ve havalandırma standartları tespiti
Aykut Karaca;İlaçlama Firması Yetkilisi;13.04.2026;14:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;İlaçlama firması haşere ve kemirgen kontrol istasyonları nisan ayı durum raporu
Seda Koçak;İSG Uzmanı;10.04.2026;10:45;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Çalışan hakları ve güvenliği komitesi alınan kararların takibi ve aksiyon planı
Fatih Tekin;65748392019;9.04.2026;15:30;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Acil servis taşıma sedyeleri ve tekerlekli sandalyelerinin periyodik bakım onayı
Büşra Yıldız;İndikatör Veri Sorumlusu;8.04.2026;11:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Kalite göstergeleri veri giriş sorumluları ile kurumsal hedefler koordinasyon toplantısı
Uğur Şahin;29384756105;8.04.2026;09:05;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Oksijen tüpü depolama alanı zincirleme ve sabitleme kuralları fiziki saha denetimi
Gizem Demir;Kalite Yönetim Temsilcisi;7.04.2026;14:40;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;SKS belgelendirme denetimi düzeltici ve önleyici faaliyet (DÖF) rapor takibi
Kenan Çetin;84756192038;6.04.2026;10:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Yemek dağıtım arabaları (termoboks) ısıtıcı rezistans arızaları tespiti ve tamir süreci
Meltem Aslan;Enfeksiyon Kontrol Hem.;3.04.2026;16:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Özellikli birimler (Yoğun Bakım, Ameliyathane) giriş kısıtlamaları SKS uyumu denetimi
Turgut Koç;10293847562;2.04.2026;11:50;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Morg soğutma üniteleri sıcaklık ve nem kalibrasyon belgelerinin güncelliği kontrolü
Elif Polat;İOBS Sorumlusu;1.04.2026;09:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Mart ayı ramak kala olay bildirimlerinin kök neden analizi ve risk değerlendirmesi
Murat Dağlı;Çevre Şehircilik Denetmeni;31.03.2026;14:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Atık su arıtma sistemi numune analiz sonuçlarının deşarj standartlarına uygunluğu
Asuman Karaca;74859610232;30.03.2026;10:45;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;İndikatör yönetimi sistemi üzerinden klinik bazlı veri çekilmesi ve sapma analizi
Mert Yıldız;Taşeron Firma Şefi;27.03.2026;15:50;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Yeni atanan temizlik personelinin temel kalite, el hijyeni ve izolasyon önlemleri eğitimi
Seda Demir;Sivil Savunma Amiri;26.03.2026;11:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Renkli kod tatbikatı (Pembe Kod) senaryo hazırlığı, gizlilik ve görevlendirmeler
Yasin Şahin;38475619207;26.03.2026;09:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Yangın çıkış kapıları panik barlarının tahliye anındaki fonksiyonellik testi
Tuğba Gürbüz;Eğitim Hemşiresi;25.03.2026;14:00;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Hasta düşmelerini önleme talimatı güncellemeleri ve yatak başı afiş çalışmaları
Kerem Çelik;57483920162;24.03.2026;10:20;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Çatı arası ve tesisat şaftları yalıtım malzemesi temizlik ve güvenlik kontrolleri
Esra Yılmaz;Hasta Hakları Sorumlusu;23.03.2026;16:15;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Klinikte unutulan/kaybolan hasta eşyaları yönetimi prosedür onayı ve zimmet süreci
Volkan Aslan;92837465109;20.03.2026;13:40;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Medikal gaz santrali basınç uyarı panolarının SKS renk kodlarına uyumu ve etiketleme
Ceren Dağlı;19283746504;20.03.2026;09:50;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Yabancı uyruklu hastalar için yönlendirme tabelaları (Arapça/İngilizce) tercüme revizyonu
Hakan Koçak;48571920369;19.03.2026;15:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Güvenlik personeli yaka kamerası kayıtlarının KVKK ve arşivleme standartları
Nihan Şen;Kadın Doğum Sorumlu Hem.;18.03.2026;11:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Anne oteli ve yenidoğan servisi fiziksel şartlarının SKS puanlaması değerlendirmesi
Aykut Bulut;65748392014;17.03.2026;09:30;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Tehlikeli madde (kimyasal) dökülme kiti eksiklerinin tamamlanması ve miat kontrolü
Seda Karaca;İç Tetkik Sorumlusu;16.03.2026;14:45;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Kalite yönetim direktörlüğü ile 2026 yılı 1. dönem iç tetkik planlaması taslağı
Fatih Yılmaz;84756192037;13.03.2026;10:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Hasta odaları televizyon ve mini buzdolaplarının elektriksel kaçak akım güvenlik testleri
Büşra Çelik;Eczacı;12.03.2026;16:00;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;SKS kapsamında klinik eczane dolapları ilaç miat takip çizelgelerinin rastgele denetimi
Uğur Demir;37485910267;11.03.2026;13:20;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Bahçe peyzaj düzenlemesi ve dış mekan aydınlatmaları arıza bildirimlerinin tespiti
Gizem Koç;Kan Merkezi Sorumlusu;11.03.2026;09:10;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Kan transfüzyonu reaksiyonları kalite bildirim formlarının incelenmesi ve kök neden
Kenan Yıldız;29384756107;10.03.2026;15:30;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Merkezi sterilizasyon ünitesi kirli/temiz giriş alanı negatif basınç farkları kontrolü
Meltem Tekin;10293847567;9.03.2026;11:40;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Şubat ayı hasta ve çalışan geri bildirim anketlerinin istatistiksel rapor sunumu
Turgut Gürbüz;58493021767;6.03.2026;09:45;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Çamaşırhane endüstriyel kurutma makineleri tiftik filtresi yangın riski rutin denetimi
Elif Şahin;Satınalma Şefi;5.03.2026;14:15;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Dış kaynaklı hizmet (taşeron) sağlayıcıları yıllık kalite denetim formlarının güncellenmesi
Murat Polat;74859610237;4.03.2026;10:20;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;İdari bina ofislerinin ekranlı araçlarda çalışma ergonomi risk analizi ve yerleşim planı
Asuman Dağlı;Akılcı İlaç Koor.;3.03.2026;16:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Poliklinik bekleme alanları için akılcı ilaç kullanımı afiş ve bilgilendirme broşürleri onayı
Mert Aslan;19283746507;2.03.2026;13:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Tıbbi atık taşıma arabalarının dezenfeksiyon işlemleri ve personel koruyucu ekipman kontrolü
Yasin Karaca;92837465101;27.02.2026;09:50;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Ameliyathane cerrahi el yıkama ünitelerinin sensör/fotosel arızaları SKS uygunsuzluk kaydı
Tuğba Yıldız;48571920361;26.02.2026;15:40;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Hasta yemek tepsileri porselen ve polikarbon malzeme kırık/çatlak hijyen riski denetimi
Kerem Koçak;Sosyal Hizmet Uzmanı;25.02.2026;11:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Özürlü ve yaşlı hastalara yönelik karşılama/refakatçi hizmetlerinin kalite değerlendirmesi
Esra Çelik;38475619201;24.02.2026;09:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Yangın alarm panelleri ve duman dedektörleri adresleme modülü test tutanakları
Volkan Demir;Sivil Savunma Uzmanı;23.02.2026;14:50;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Bebek kaçırma (Pembe Kod) tatbikatı sonuç raporunun imzalanması ve il sağlığa sevki
Ceren Polat;65748392011;20.02.2026;10:30;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Poliklinik engelli tuvaletlerindeki acil çağrı iplerinin yerden yükseklik standartlarına uygunluğu
Hakan Şahin;Kalite Yönetim Direktörü;19.02.2026;16:15;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Sağlıkta kalite standartları sürüm 6.1 değişikliklerinin değerlendirme komitesine sunumu
Nihan Yılmaz;84756192031;18.02.2026;13:40;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Ana su deposu aylık bakiye klor ölçüm raporlarının ilçe halk sağlığı müdürlüğüne bildirimi
Aykut Dağlı;29384756101;17.02.2026;09:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Cerrahi güvenlik kontrol listesi kullanım oranlarının hasta dosyaları üzerinden çapraz denetimi
Seda Aslan;10293847561;16.02.2026;15:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Hastane içi yönlendirme levhaları ve kapı isimliklerinin güncel kurumsal kimlik kılavuzuna uyarlanması
