Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu
Tarık Yılmaz;45192837465;30.04.2026;15:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;2026 yılı 2. çeyrek genel bütçe harcama kalemleri değerlendirme toplantısı
Sevilay Kurt;Mali Hizmetler Uzmanı;30.04.2026;11:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Acil servis döner sermaye ödeneklerinin mutabakatı ve banka protokolü
Hakan Şenel;92837465102;30.04.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Temizlik hizmetleri taşeron firma nisan ayı hakediş faturası teslimi
Fatma Erdem;57483920164;29.04.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Ortopedi protez malzemeleri doğrudan temin piyasa fiyat araştırması
Gökhan Çetin;38475619203;29.04.2026;10:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Tıbbi atık bertaraf hizmet alımı sözleşme yenileme görüşmesi
Büşra Koç;Satınalma Memuru;29.04.2026;09:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Laboratuvar kitleri DMO (Devlet Malzeme Ofisi) alım kataloğu incelemesi
Murat Polat;74859610234;28.04.2026;16:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane bilgi yönetim sistemi (HBYS) sunucu bakım faturası itirazı
Elif Doğan;19283746505;28.04.2026;13:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Personel servis araçları güzergah maliyet analizi ve yakıt farkı talebi
Sinan Acar;Yemekhane Firma Yetkilisi;27.04.2026;15:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Hasta ve personel ramazan ayı kumanya maliyet güncellemeleri
Leyla Karaca;84756192038;27.04.2026;11:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Kadın doğum servisi NST kağıtları ve ultrason jeli sipariş onayı
Orhan Gürbüz;29384756105;27.04.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Arızalı morg soğutucu ünitelerinin yedek parça temin faturası onayı
Aykut Tekin;65748392017;24.04.2026;14:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Diyaliz merkezi su arıtma sistemi yıllık periyodik bakım ihale taslağı
Ceren Dağlı;Mutemet;24.04.2026;10:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Sürekli işçilerin mayıs ayı sendikal fark ödemeleri ve SGK bildirgeleri
Yasin Yıldız;10293847569;22.04.2026;15:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni MR cihazı kurulumu zemin güçlendirme projesi maliyet onayı
Tuğba Yavuz;37485910265;22.04.2026;13:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Fizik tedavi ünitesi sıcak paket (hotpack) sarf malzemesi teslim tesellüm
Kerem Aslan;Ayniyat Saymanı;22.04.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;MKYS (Malzeme Kaynak Yönetim Sistemi) çeyrek dönem sayım dökümleri
Sevgi Kaya;58493021768;21.04.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Güvenlik görevlileri yazlık üniforma alımı teknik şartname kontrolü
Mert Çelik;92837465106;21.04.2026;10:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Ameliyathane hepa filtreleri firma hakediş dosyası eksikliklerinin giderilmesi
Özlem Demir;İl Sağlık Müd. Mali Koor.;20.04.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Ödenek üstü harcamaların genel sekreterlik bütçesinden karşılanması
Volkan Bulut;48571920364;20.04.2026;11:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Çamaşırhane endüstriyel ütü rezistans arızası acil alım talebi
Nihan Şahin;74859610238;20.04.2026;09:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Kan merkezi eliza tüpleri miat uzatımı ve yeni parti alım planlaması
Burak Erdoğan;19283746506;17.04.2026;14:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane bahçesi peyzaj ve budama hizmeti doğrudan temin alımı
Asuman Polat;SGK Denetmeni;17.04.2026;10:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Yoğun bakım yatış faturalarındaki SGK MEDULA kesinti itirazları
Tamer Yılmaz;38475619207;16.04.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Otopark bariyer sistemleri HGS entegrasyonu yazılım fatura onayı
Dilek Koçak;65748392019;16.04.2026;13:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Eczane modülü uyuşturucu ilaç dolabı elektronik kilit sistemi alımı
Selim Can;Fatura Servis Şefi;16.04.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Trafik kazası adli vakalarının sigorta rücu faturalandırma işlemleri
Aylin Kurt;84756192039;15.04.2026;14:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Yenidoğan kuvöz içi ısıtıcı problarının garanti kapsamında değişimi
Kemal Tekin;29384756109;15.04.2026;10:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Poliklinik hasta yönlendirme kioskları (Q-Matik) termal rulo alımı
Sibel Yavuz;10293847562;14.04.2026;16:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Kantin kira sözleşmesi yıllık TÜFE artış oranının tebliği ve imza
Erkan Çetin;Tıbbi Cihaz Firma Yön.;14.04.2026;11:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Arızalı ESWL (taş kırma) cihazı lazer başlık tamir teklifinin sunumu
Merve Dağlı;37485910269;14.04.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Personel kreşi boya badana ve zemin kaplama malzemesi satın alma dosyası
Cengiz Aslan;58493021762;13.04.2026;14:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Jeneratör odası aylık motorin yakıt dolumu ihale hakediş ödemesi
Haluk Gürbüz;Biyomedikal Teknikeri;13.04.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Merkezi oksijen sistemi manifold kaçak tamiri malzeme faturası
Pelin Karaca;19283746509;10.04.2026;15:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Hastane genel aydınlatma armatürlerinin LED dönüşüm projesi bütçesi
Alper Şahin;74859610232;10.04.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;SKS standartları gereği acil çıkış kapıları panik bar kilit alımı
Esra Demir;Maaş Mutemedi;10.04.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Doktor dışı sağlık personeli nöbet ücretleri banka listesi onayı
Uğur Yılmaz;38475619202;9.04.2026;14:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Patoloji laboratuvarı formalin cihazı aktif karbon filtre alımı
Zeynep Polat;92837465109;9.04.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Arşiv dairesi kompakt raf onarımı doğrudan temin evraklarının teslimi
İbrahim Koç;57483920162;8.04.2026;16:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Medikal oksijen tüpü dolum anlaşması gecikme cezası uygulanması
Gizem Kaya;E-Nabız Koordinatörü;8.04.2026;13:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Veri gönderim hatalarından kaynaklanan bakanlık bütçe kesintisi tespiti
Murat Tekin;48571920362;8.04.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Taşeron güvenlik şirketi asgari ücret fiyat farkı hakediş incelemesi
Cansu Erdem;29384756102;7.04.2026;15:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Başhekimlik makam odası misafir koltuk takımı alımı piyasa araştırması
Fatih Şenel;İSG Uzmanı;7.04.2026;10:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;İş sağlığı güvenliği risk analizi yazılımı yıllık lisans bedeli onayı
Aylin Yıldız;84756192032;6.04.2026;14:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Acil servis triyaj alanı hasta bekleme koltukları tadilat faturası
Gökhan Doğan;65748392012;6.04.2026;11:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Günübirlik cerrahi ünitesi nevresim takımı ve alez siparişi hakedişi
Büşra Çelik;10293847564;6.04.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Poliklinik sekreterlik bilgisayarları için barkod okuyucu yedek parça alımı
Serdar Acar;37485910262;3.04.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Hemodiyaliz sarf malzemeleri asit-baz solüsyon fiyat teklifleri
Elif Gürbüz;Tahakkuk Memuru;3.04.2026;10:25;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane dışı görevlendirme (filyasyon/evde bakım) harcırah evrakları
Mesut Can;58493021765;2.04.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yangın söndürme tüpleri dolumu ve hidrostatik test hizmet alımı
Seda Karaca;19283746502;2.04.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Morg nakil araçları trafik sigortası ve kasko yenileme işlemleri
Kenan Polat;74859610235;2.04.2026;13:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş polikliniği kompozit dolgu malzemesi doğrudan temin teklifleri
Aslıhan Demir;Tıbbi Atık Firma Yön.;1.04.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Mart ayı enfekte atık tartım fişleri mutabakatı ve fatura kesimi
Turgut Yılmaz;38475619205;1.04.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Santral IP telefon cihazları arıza onarım ve switch yenileme alımı
Meltem Tekin;92837465104;31.03.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Ameliyathane cerrahi set onarımları için yetkili servis fiyat pazarlığı
Eren Şahin;57483920165;31.03.2026;13:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Enfeksiyon komitesi kararıyla alınacak dezenfektan dispenserleri faturası
Berrin Koç;Evrak Kayıt Sorumlusu;31.03.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Kurum içi posta gönderi ve KEP (Kayıtlı Elektronik Posta) kontör alımı
Yasin Çelik;29384756104;30.03.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Yemekhane soğuk hava deposu kompresör arızası yedek parça siparişi
Fatma Dağlı;84756192035;30.03.2026;10:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Eczane iade ilaç kolileri için taşıma arabası ve transpalet alımı
Orhan Aslan;Satınalma Şefi;27.03.2026;16:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Birinci çeyrek ihale dosyaları denetimi ve açık ihale ilan tarihleri tespiti
Gizem Gürbüz;10293847565;27.03.2026;11:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Yoğun bakım hasta başı monitörleri EKG kablosu acil siparişi
Alper Karaca;37485910264;27.03.2026;09:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Yeni açılacak psikiyatri polikliniği ofis mobilyası ve bilgisayar temini
Seda Yıldız;58493021769;26.03.2026;14:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Yenidoğan işitme tarama cihazı kalibrasyon raporu doğrulama faturası
Murat Çetin;Döner Sermaye Saymanı;26.03.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Şubat ayı hekim döner sermaye tavan ek ödemelerinin bankaya iletilmesi
Elif Polat;19283746504;25.03.2026;15:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Temizlik makineleri binici tipi zemin yıkama cihazı akü değişimi onayı
Kenan Demir;74859610239;25.03.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Biyokimya otoanalizör cihazları kit karşılığı kiralama ihalesi zeyilnamesi
Aslıhan Yılmaz;38475619209;25.03.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Kan alma birimi vakumlu tüp iadelerinin ilgili firmaya rücu edilmesi
Turgut Acar;65748392014;24.03.2026;14:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Merkezi ısıtma doğalgaz kazanları brülör bakım hakediş faturası
Meltem Doğan;Gelir İdaresi Denetmeni;24.03.2026;10:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;2025 yılı kurumlar vergisi muafiyetleri ve döner sermaye KDV oranları
Burak Koçak;92837465107;23.03.2026;16:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Acil tıp uzmanları icap nöbeti şikayetleri üzerine puantaj düzenlemesi
Ceren Şahin;57483920169;23.03.2026;13:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Radyoloji birimi koruyucu kurşun önlük alımı piyasa araştırması
Yasin Tekin;48571920369;23.03.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Asansör periyodik bakım firması yeşil etiket belgelendirme faturası
Tuğba Çelik;29384756107;20.03.2026;15:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Cerrahi sütür ve zımba (stapler) sarf malzeme doğrudan temin ihalesi
Kerem Dağlı;Biyomedikal Mühendisi;20.03.2026;11:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Hurdaya ayrılan monitörlerin HEK (Hurda Enkaz Köhne) raporu onayı
Nihan Aslan;84756192037;19.03.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Diyaliz hasta taşıma araçları kiralama ihalesi şartname son kontrolleri
Volkan Gürbüz;10293847567;19.03.2026;10:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane jeneratörleri periyodik yük testi hizmeti teklif değerlendirmesi
Esra Karaca;37485910267;19.03.2026;09:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Pediatri servisi boy ve kilo ölçüm tartıları kalibrasyon ödemesi
Fatih Yıldız;SGK Fatura Uzmanı;18.03.2026;15:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Onkoloji pahalı ilaç MEDULA rapor uyumsuzlukları kesinti analizi
Gizem Çetin;58493021767;18.03.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Çamaşırhane yıkama kimyasalları (deterjan/yumuşatıcı) sipariş teyidi
Uğur Polat;19283746507;17.03.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Laboratuvar pnömatik tüp taşıma sistemi bakım onarım kaba teklifi
Asuman Demir;74859610237;17.03.2026;13:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Endoskopi cihazı video işlemci kordon arızası yetkili servis faturası
Mert Yılmaz;İnsan Kaynakları Şefi;17.03.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;657 4/B sözleşmeli personelin aile yardımı ve asgari geçim indirimleri
Elif Acar;38475619207;16.03.2026;14:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Fiziksel tıp ünitesi rehabilitasyon yatakları mekanik kol arıza faturası
Kenan Doğan;65748392017;16.03.2026;10:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Merkezi sterilizasyon buhar jeneratörü emniyet valfi doğrudan alımı
Seda Koçak;92837465101;13.03.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Otopark bariyer sistemlerine ait kartlı geçiş cihazı (PDKS) yenilemesi
Turgut Şahin;57483920161;13.03.2026;11:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Kadın doğum servisi NST probları arıza tespit tutanağı ve iade faturası
Meltem Çelik;Taşınır Kayıt Yetkilisi;13.03.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Eczane TİF (Taşınır İşlem Fişi) girişlerinin muhasebat onayı
Aykut Tekin;48571920361;12.03.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Acil servis kan alma tüplerindeki üretim hatası kaynaklı iade ve rücu
Ceren Dağlı;29384756101;12.03.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Mutfak doğalgaz alarm sistemleri kalibrasyonu hakediş onay belgesi
Kerem Aslan;84756192031;11.03.2026;16:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni atanan güvenlik personeli özlük dosyaları ve banka promosyonu
Nihan Gürbüz;10293847561;11.03.2026;13:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;İnternet altyapısı switch dolapları (rack kabin) fan soğutucu faturası
Volkan Karaca;HBYS Yazılım Destek;11.03.2026;09:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Hasta kayıt barkod yazıcıları termal kafa değişimi yedek parça alımı
Esra Yıldız;37485910261;10.03.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş röntgen (panoramik) cihazı kurşun yelek yenileme fiyat araştırması
Fatih Çetin;58493021761;10.03.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Kızılay kan merkezi kan tedarik faturalarının mutabakatı
