Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu (İptal Gerekçesiyle)
Asuman Karaca;29384756104;30.04.2026;15:00;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Yoğun bakım stoma bakım seti numune teslimi (Firma yetkilisinin gecikmesi sebebiyle iptal)
Mert Yıldız;84756192036;29.04.2026;10:30;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Yemekhane soğuk hava deposu izolasyon keşfi (Müdür yardımcısının acil saha denetimi nedeniyle iptal)
Seda Demir;Biyomedikal Cihaz Tek.;28.04.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni EKG cihazları kabul komisyonu toplantısı (Cihazların gümrükten çekilememesi üzerine ertelendi)
Kenan Çetin;57483920162;27.04.2026;09:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Poliklinik sekreterlikleri barkod okuyucu tamir teslimi (Parça eksikliği nedeniyle iptal)
Turgut Polat;19283746508;24.04.2026;16:20;Başhekimlik;Başhekim;Ali Haydar Dadacı;Hastane dergisi için başhekim röportajı (Başhekimin il sağlık müdürlüğüne acil çağrılmasıyla iptal)
Meltem Dağlı;74859610232;22.04.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Personel servis araçları nisan ayı hakediş faturası teslimi (Faturadaki KDV hesaplama hatası nedeniyle iade/iptal)
Aykut Aslan;38475619206;21.04.2026;15:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Diyaliz ünitesi su arıtma sistemi yedek parça onayı (Teklif dosyasındaki eksik evraklar sebebiyle iptal)
Ceren Koçak;Enfeksiyon Kontrol Hem.;20.04.2026;09:15;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Ameliyathane hepa filtre partikül ölçüm raporu sunumu (Ölçüm cihazındaki kalibrasyon hatası nedeniyle rapor iptali)
Kerem Gürbüz;92837465104;17.04.2026;14:30;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Yeni alınacak hasta yatakları için ergonomi sunumu (Örnek yatağın kargoda hasar görmesi sebebiyle iptal)
Nihan Yılmaz;65748392018;16.04.2026;10:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Temizlik malzemeleri (çöp poşeti/deterjan) numune değerlendirmesi (Satınalma komisyonu toplantısının uzamasıyla iptal)
