Engellenen Kişinin Adı Soyadı;Tc Kimlik Numarası;Engelleyen Kişi;Engelleme Nedeni;Tarih
Kürşat Yıldırım;45182937465;Ali Haydar Dadacı;Makam odasına randevusuz ve zorla girme girişimi, personele hakaret;30.04.2026
Semih Karaca;65748392011;Mehmet Emin KILIÇ;İhale şartnamelerinde sahte belge ibrazı ve kurumu yanıltma çabası;29.04.2026
Aylin Tekin;19283746502;Hamide Parlatan;Yoğun bakım izolasyon kurallarını ihlal edip nöbetçi hemşireye fiziki saldırı girişimi;28.04.2026
Murat Dağlı;38475619207;Ali ÇELİK;Poliklinik sekreterlerine zorla randevu açtırmaya çalışma ve tehdit;27.04.2026
Kenan Orhan;92837465104;Ertuğrul YARALI;Tıbbi mümessil çalışma kurallarının mükerrer ihlali ve servis alanlarına izinsiz sızma;24.04.2026
Sinan Polat;74859610238;Cafer Ünlü;Hastane bahçesi ve otopark bariyerlerine kasten zarar verme;22.04.2026
Cengiz Yalçın;29384756105;Yasemin ŞAHİN;Satınalma komisyonu üyelerine fiyat baskısı yapma ve sözlü taciz;21.04.2026
Oğuzhan Erdem;58493021764;Kadir KARABACAK;Acil serviste hekim odasını basarak görevli personele mukavemet;20.04.2026
Leyla Korkmaz;84756192035;Durmuş TEMEL;Hakediş evraklarında tahrifat yapılması nedeniyle firma yetkilisinin kurumdan men edilmesi;17.04.2026
Gökhan Aksoy;48571920361;Erol KAHRAMAN;SKS kalite denetçisi gibi davranarak hasta dosyalarına erişim çabası;16.04.2026
Merve Kılıçarslan;10293847566;Halit KARACA;Psikiyatri servisi kapalı alanına izinsiz girmeye çalışma ve güvenlik görevlisiyle arbede;15.04.2026
Faruk Gündüz;37485910262;Celal YARDIMCI;Vezne ve fatura birimi çalışanlarına yüksek sesle bağırarak işlem akışını engelleme;14.04.2026
Zeynep Çetin;57483920169;Hamide Parlatan;Yenidoğan servisinde diğer hasta yakınlarını kışkırtma ve huzur bozma;13.04.2026
Burak Aslan;29384756108;Ali Haydar Dadacı;CİMER şikayetini bahane ederek makam sekreterliğinde taşkınlık çıkarma;10.04.2026
Ayşe Vural;65748392019;Mehmet Emin KILIÇ;Kantin denetimi sırasında tutanak tutulmasını engellemek için idarecilere fiziki müdahale;9.04.2026
